Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
22834,08-11-2022 21:00,09-08-2022 09:00,09-08-2022 20:03,Mumbai,295,Domestic Violence,72,X,None,Violent Crime,13,No,
22835,08-10-2022 22:00,09-08-2022 10:00,10-08-2022 09:15,Bangalore,450,Traffic Violation,72,X,Other,Traffic Fatality,10,Yes,08-12-2022 22:00
22836,08-12-2022 05:00,09-08-2022 11:00,09-08-2022 13:08,Kalyan,414,Counterfeiting,21,M,Knife,Other Crime,15,No,
22837,08-10-2022 06:00,09-08-2022 12:00,10-08-2022 11:20,Mumbai,129,Vandalism,26,F,Knife,Other Crime,10,Yes,11-04-2022 06:00
22838,08-10-2022 08:00,09-08-2022 13:00,09-08-2022 23:06,Bangalore,196,Arson,33,X,Knife,Fire Accident,15,Yes,10-10-2022 08:00
22839,08-12-2022 07:00,09-08-2022 14:00,09-08-2022 22:06,Hyderabad,513,Public Intoxication,13,M,Firearm,Other Crime,12,No,
22840,08-12-2022 10:00,09-08-2022 15:00,10-08-2022 14:11,Chennai,155,Domestic Violence,42,F,Poison,Violent Crime,19,No,
22841,08-12-2022 00:00,09-08-2022 16:00,10-08-2022 00:05,Nagpur,442,Traffic Violation,57,M,Firearm,Traffic Fatality,2,Yes,13-08-2022 00:00
22842,08-10-2022 03:00,09-08-2022 17:00,10-08-2022 06:26,Chennai,511,Drug Offense,12,X,Blunt Object,Other Crime,15,No,
22843,08-12-2022 07:00,09-08-2022 18:00,10-08-2022 04:08,Surat,376,Shoplifting,14,F,Knife,Other Crime,19,No,
22844,08-11-2022 20:00,09-08-2022 19:00,10-08-2022 06:01,Kolkata,550,Firearm Offense,50,F,Firearm,Fire Accident,14,Yes,09-07-2022 20:00
22845,08-11-2022 01:00,09-08-2022 20:00,10-08-2022 07:46,Kanpur,346,Assault,14,X,Poison,Violent Crime,8,No,
22846,08-10-2022 04:00,09-08-2022 21:00,10-08-2022 09:18,Agra,577,Homicide,13,F,Knife,Other Crime,10,Yes,21-06-2023 04:00
22847,08-10-2022 00:00,09-08-2022 22:00,10-08-2022 19:46,Kolkata,428,Public Intoxication,76,M,Poison,Other Crime,9,Yes,14-08-2022 00:00
22848,08-11-2022 22:00,09-08-2022 23:00,10-08-2022 00:31,Chennai,137,Assault,26,X,Firearm,Violent Crime,8,Yes,28-09-2022 22:00
22849,08-12-2022 15:00,10-08-2022 00:00,10-08-2022 07:57,Thane,370,Cybercrime,44,F,Knife,Other Crime,2,Yes,11-09-2022 15:00
22850,08-10-2022 07:00,10-08-2022 01:00,10-08-2022 12:04,Pune,298,Kidnapping,22,X,Other,Other Crime,12,Yes,10-10-2022 07:00
22851,08-10-2022 22:00,10-08-2022 02:00,10-08-2022 05:11,Delhi,254,Robbery,49,X,None,Violent Crime,5,Yes,20-11-2022 22:00
22852,08-11-2022 01:00,10-08-2022 03:00,10-08-2022 10:09,Ahmedabad,357,Drug Offense,27,X,Firearm,Other Crime,14,No,
22853,08-12-2022 03:00,10-08-2022 04:00,10-08-2022 05:53,Bangalore,110,Homicide,41,F,Other,Other Crime,8,No,
22854,08-11-2022 08:00,10-08-2022 05:00,10-08-2022 13:47,Delhi,315,Counterfeiting,59,X,Knife,Other Crime,18,Yes,27-09-2022 08:00
22855,08-11-2022 02:00,10-08-2022 06:00,10-08-2022 20:09,Delhi,381,Burglary,12,F,Poison,Other Crime,4,No,
22856,08-10-2022 10:00,10-08-2022 07:00,10-08-2022 19:08,Delhi,124,Assault,34,M,Poison,Violent Crime,4,No,
22857,08-11-2022 13:00,10-08-2022 08:00,10-08-2022 10:57,Nagpur,257,Arson,61,X,Firearm,Fire Accident,4,Yes,09-10-2022 13:00
22858,08-10-2022 16:00,10-08-2022 09:00,11-08-2022 02:33,Hyderabad,454,Arson,17,M,Firearm,Fire Accident,14,Yes,15-09-2022 16:00
22859,13-08-2022 09:00,10-08-2022 10:00,10-08-2022 19:11,Chennai,527,Sexual Assault,11,M,Blunt Object,Violent Crime,6,Yes,29-07-2023 09:00
22860,13-08-2022 09:00,10-08-2022 11:00,11-08-2022 03:33,Agra,500,Homicide,64,X,Knife,Other Crime,12,No,
22861,13-08-2022 07:00,10-08-2022 12:00,10-08-2022 22:02,Mumbai,438,Shoplifting,42,X,Firearm,Other Crime,13,Yes,29-09-2022 07:00
22862,13-08-2022 11:00,10-08-2022 13:00,11-08-2022 02:22,Mumbai,129,Fraud,64,F,Firearm,Other Crime,9,No,
22863,08-10-2022 23:00,10-08-2022 14:00,10-08-2022 16:20,Nagpur,388,Sexual Assault,66,F,Firearm,Violent Crime,7,No,
22864,08-11-2022 14:00,10-08-2022 15:00,11-08-2022 04:29,Surat,571,Robbery,43,M,Explosives,Violent Crime,14,No,
22865,08-10-2022 18:00,10-08-2022 16:00,11-08-2022 10:01,Indore,223,Robbery,18,X,Other,Violent Crime,13,No,
22866,08-12-2022 02:00,10-08-2022 17:00,11-08-2022 04:48,Mumbai,384,Counterfeiting,63,F,Explosives,Other Crime,2,Yes,10-10-2022 02:00
22867,08-11-2022 03:00,10-08-2022 18:00,11-08-2022 04:50,Pune,429,Domestic Violence,30,X,Firearm,Violent Crime,19,No,
22868,08-11-2022 15:00,10-08-2022 19:00,11-08-2022 10:22,Jaipur,437,Sexual Assault,27,F,Firearm,Violent Crime,11,No,
22869,08-11-2022 14:00,10-08-2022 20:00,10-08-2022 20:05,Delhi,236,Firearm Offense,43,M,Poison,Fire Accident,5,No,
22870,13-08-2022 05:00,10-08-2022 21:00,11-08-2022 11:50,Kanpur,184,Fraud,12,F,Blunt Object,Other Crime,4,No,
22871,08-12-2022 08:00,10-08-2022 22:00,11-08-2022 15:14,Pune,104,Homicide,32,F,Knife,Other Crime,10,No,
22872,13-08-2022 20:00,10-08-2022 23:00,11-08-2022 18:59,Bangalore,547,Firearm Offense,22,X,Blunt Object,Fire Accident,19,No,
22873,08-11-2022 06:00,11-08-2022 00:00,11-08-2022 23:07,Chennai,293,Fraud,53,M,Firearm,Other Crime,10,Yes,24-09-2022 06:00
22874,13-08-2022 01:00,11-08-2022 01:00,11-08-2022 11:35,Hyderabad,424,Sexual Assault,54,M,Knife,Violent Crime,13,Yes,14-05-2024 01:00
22875,08-12-2022 18:00,11-08-2022 02:00,11-08-2022 13:04,Delhi,552,Vehicle - Stolen,71,F,Explosives,Violent Crime,1,Yes,19-10-2022 18:00
22876,08-12-2022 16:00,11-08-2022 03:00,11-08-2022 17:41,Indore,574,Domestic Violence,55,M,Explosives,Violent Crime,19,Yes,18-09-2022 16:00
22877,13-08-2022 19:00,11-08-2022 04:00,12-08-2022 02:12,Delhi,321,Public Intoxication,31,X,Blunt Object,Other Crime,9,No,
22878,08-11-2022 16:00,11-08-2022 05:00,11-08-2022 20:18,Bangalore,143,Robbery,46,M,Firearm,Violent Crime,3,No,
22879,08-12-2022 10:00,11-08-2022 06:00,12-08-2022 03:38,Ghaziabad,537,Vehicle - Stolen,66,X,Explosives,Violent Crime,11,Yes,09-02-2022 10:00
22880,13-08-2022 09:00,11-08-2022 07:00,11-08-2022 12:08,Pune,131,Vandalism,60,X,Explosives,Other Crime,17,No,
22881,13-08-2022 12:00,11-08-2022 08:00,11-08-2022 22:55,Mumbai,197,Illegal Possession,71,X,Poison,Other Crime,14,No,
22882,08-12-2022 17:00,11-08-2022 09:00,12-08-2022 02:04,Delhi,432,Burglary,46,F,Poison,Other Crime,17,No,
22883,08-12-2022 23:00,11-08-2022 10:00,11-08-2022 15:23,Agra,401,Cybercrime,32,F,Other,Other Crime,10,No,
22884,08-11-2022 22:00,11-08-2022 11:00,12-08-2022 09:51,Kolkata,116,Vehicle - Stolen,49,X,Explosives,Violent Crime,2,No,
22885,13-08-2022 22:00,11-08-2022 12:00,12-08-2022 03:00,Ahmedabad,272,Homicide,67,M,Explosives,Other Crime,13,No,
22886,08-12-2022 13:00,11-08-2022 13:00,11-08-2022 17:48,Delhi,361,Arson,68,M,None,Fire Accident,5,Yes,29-08-2022 13:00
22887,08-12-2022 23:00,11-08-2022 14:00,12-08-2022 00:53,Delhi,144,Arson,44,X,Blunt Object,Fire Accident,5,Yes,09-06-2022 23:00
22888,14-08-2022 11:00,11-08-2022 15:00,12-08-2022 01:51,Bangalore,321,Identity Theft,14,F,Other,Violent Crime,13,Yes,17-10-2022 11:00
22889,08-11-2022 23:00,11-08-2022 16:00,12-08-2022 15:24,Hyderabad,522,Public Intoxication,46,F,Firearm,Other Crime,17,Yes,27-08-2022 23:00
22890,13-08-2022 06:00,11-08-2022 17:00,12-08-2022 08:30,Jaipur,405,Fraud,39,X,Firearm,Other Crime,4,No,
22891,08-12-2022 03:00,11-08-2022 18:00,11-08-2022 18:20,Ghaziabad,226,Domestic Violence,29,F,Firearm,Violent Crime,9,No,
22892,08-12-2022 14:00,11-08-2022 19:00,12-08-2022 10:17,Kolkata,100,Robbery,46,F,Knife,Violent Crime,10,No,
22893,08-12-2022 02:00,11-08-2022 20:00,12-08-2022 17:38,Delhi,481,Homicide,35,F,Explosives,Other Crime,11,No,
22894,08-12-2022 18:00,11-08-2022 21:00,12-08-2022 06:36,Mumbai,459,Vehicle - Stolen,39,F,Explosives,Violent Crime,14,Yes,11-07-2022 18:00
22895,08-12-2022 00:00,11-08-2022 22:00,11-08-2022 23:54,Chennai,548,Vehicle - Stolen,58,F,Firearm,Violent Crime,19,No,
22896,14-08-2022 10:00,11-08-2022 23:00,12-08-2022 09:43,Bangalore,375,Burglary,56,F,Explosives,Other Crime,14,Yes,10-02-2022 10:00
22897,14-08-2022 03:00,12-08-2022 00:00,12-08-2022 14:10,Delhi,269,Fraud,42,F,Firearm,Other Crime,1,Yes,25-09-2022 03:00
22898,08-12-2022 18:00,12-08-2022 01:00,12-08-2022 22:22,Thane,551,Extortion,45,M,None,Other Crime,19,No,
22899,13-08-2022 08:00,12-08-2022 02:00,12-08-2022 13:05,Mumbai,493,Fraud,30,M,Knife,Other Crime,18,No,
22900,08-12-2022 18:00,12-08-2022 03:00,12-08-2022 15:20,Rajkot,151,Sexual Assault,58,X,Explosives,Violent Crime,2,Yes,17-11-2023 18:00
22901,13-08-2022 10:00,12-08-2022 04:00,12-08-2022 14:48,Delhi,448,Firearm Offense,61,X,None,Fire Accident,9,No,
22902,14-08-2022 08:00,12-08-2022 05:00,13-08-2022 04:37,Chennai,177,Drug Offense,70,F,Poison,Other Crime,8,Yes,21-08-2022 08:00
22903,08-12-2022 20:00,12-08-2022 06:00,13-08-2022 00:11,Agra,443,Shoplifting,22,X,Other,Other Crime,8,No,
22904,13-08-2022 23:00,12-08-2022 07:00,12-08-2022 12:52,Hyderabad,244,Homicide,25,M,Explosives,Other Crime,10,Yes,24-08-2023 23:00
22905,14-08-2022 23:00,12-08-2022 08:00,12-08-2022 08:19,Hyderabad,575,Traffic Violation,26,M,Poison,Traffic Fatality,2,No,
22906,14-08-2022 01:00,12-08-2022 09:00,12-08-2022 14:22,Visakhapatnam,100,Homicide,77,X,Knife,Other Crime,6,Yes,05-10-2023 01:00
22907,14-08-2022 00:00,12-08-2022 10:00,12-08-2022 21:25,Delhi,354,Firearm Offense,29,X,None,Fire Accident,2,Yes,21-10-2022 00:00
22908,13-08-2022 23:00,12-08-2022 11:00,13-08-2022 09:28,Kolkata,216,Assault,18,X,None,Violent Crime,14,Yes,30-08-2022 23:00
22909,13-08-2022 18:00,12-08-2022 12:00,12-08-2022 18:53,Agra,457,Extortion,67,X,Blunt Object,Other Crime,14,Yes,20-09-2022 18:00
22910,14-08-2022 06:00,12-08-2022 13:00,12-08-2022 19:41,Srinagar,395,Identity Theft,23,F,Other,Violent Crime,11,No,
22911,14-08-2022 06:00,12-08-2022 14:00,13-08-2022 09:00,Nagpur,335,Shoplifting,34,M,Blunt Object,Other Crime,5,No,
22912,14-08-2022 16:00,12-08-2022 15:00,12-08-2022 20:16,Bangalore,470,Fraud,76,X,Blunt Object,Other Crime,16,Yes,10-02-2022 16:00
22913,14-08-2022 13:00,12-08-2022 16:00,13-08-2022 12:15,Delhi,222,Drug Offense,73,F,Explosives,Other Crime,11,Yes,15-10-2022 13:00
22914,08-12-2022 21:00,12-08-2022 17:00,13-08-2022 09:48,Delhi,574,Counterfeiting,64,X,Blunt Object,Other Crime,7,No,
22915,08-12-2022 23:00,12-08-2022 18:00,13-08-2022 11:30,Nashik,558,Traffic Violation,13,F,Other,Traffic Fatality,6,Yes,16-08-2022 23:00
22916,08-12-2022 23:00,12-08-2022 19:00,13-08-2022 13:24,Srinagar,573,Cybercrime,40,F,Explosives,Other Crime,9,No,
22917,13-08-2022 07:00,12-08-2022 20:00,13-08-2022 17:52,Ghaziabad,343,Domestic Violence,52,F,None,Violent Crime,6,Yes,31-10-2022 07:00
22918,13-08-2022 15:00,12-08-2022 21:00,13-08-2022 09:16,Nagpur,110,Extortion,39,X,Poison,Other Crime,1,Yes,21-10-2022 15:00
22919,14-08-2022 18:00,12-08-2022 22:00,12-08-2022 22:31,Delhi,518,Domestic Violence,76,M,None,Violent Crime,7,No,
22920,13-08-2022 10:00,12-08-2022 23:00,13-08-2022 17:56,Hyderabad,177,Kidnapping,60,M,Knife,Other Crime,7,No,
22921,15-08-2022 06:00,13-08-2022 00:00,13-08-2022 07:18,Rajkot,150,Vandalism,59,X,Firearm,Other Crime,13,No,
22922,15-08-2022 09:00,13-08-2022 01:00,13-08-2022 15:28,Surat,273,Counterfeiting,27,M,None,Other Crime,1,Yes,14-10-2022 09:00
22923,14-08-2022 08:00,13-08-2022 02:00,13-08-2022 04:21,Kolkata,125,Illegal Possession,76,X,Explosives,Other Crime,3,No,
22924,14-08-2022 13:00,13-08-2022 03:00,13-08-2022 18:42,Visakhapatnam,562,Shoplifting,67,F,Knife,Other Crime,4,No,
22925,14-08-2022 23:00,13-08-2022 04:00,13-08-2022 18:37,Delhi,598,Robbery,70,X,Explosives,Violent Crime,18,Yes,18-09-2022 23:00
22926,14-08-2022 03:00,13-08-2022 05:00,13-08-2022 17:44,Meerut,416,Fraud,46,X,Poison,Other Crime,17,Yes,21-09-2022 03:00
22927,14-08-2022 08:00,13-08-2022 06:00,13-08-2022 11:05,Hyderabad,347,Shoplifting,15,M,Blunt Object,Other Crime,9,No,
22928,13-08-2022 14:00,13-08-2022 07:00,13-08-2022 08:29,Chennai,509,Counterfeiting,60,M,Blunt Object,Other Crime,15,Yes,24-10-2022 14:00
22929,14-08-2022 11:00,13-08-2022 08:00,13-08-2022 22:14,Mumbai,163,Homicide,20,M,Other,Other Crime,5,Yes,14-08-2023 11:00
22930,14-08-2022 11:00,13-08-2022 09:00,13-08-2022 22:39,Delhi,375,Counterfeiting,33,M,Blunt Object,Other Crime,1,No,
22931,16-08-2022 06:00,13-08-2022 10:00,14-08-2022 04:59,Kanpur,476,Identity Theft,23,M,Explosives,Violent Crime,16,No,
22932,15-08-2022 00:00,13-08-2022 11:00,13-08-2022 13:51,Chennai,357,Traffic Violation,37,F,None,Traffic Fatality,9,Yes,09-05-2022 00:00
22933,13-08-2022 20:00,13-08-2022 12:00,13-08-2022 16:25,Bangalore,253,Homicide,69,X,None,Other Crime,3,No,
22934,14-08-2022 19:00,13-08-2022 13:00,13-08-2022 14:46,Mumbai,489,Vehicle - Stolen,50,M,None,Violent Crime,17,No,
22935,16-08-2022 09:00,13-08-2022 14:00,14-08-2022 06:49,Agra,568,Extortion,56,F,Knife,Other Crime,10,No,
22936,14-08-2022 01:00,13-08-2022 15:00,13-08-2022 20:43,Ludhiana,308,Fraud,47,X,Other,Other Crime,12,Yes,27-10-2022 01:00
22937,14-08-2022 16:00,13-08-2022 16:00,13-08-2022 23:35,Visakhapatnam,446,Cybercrime,27,F,None,Other Crime,11,No,
22938,15-08-2022 21:00,13-08-2022 17:00,14-08-2022 09:43,Kanpur,566,Illegal Possession,77,X,None,Other Crime,18,Yes,09-05-2022 21:00
22939,16-08-2022 13:00,13-08-2022 18:00,14-08-2022 06:33,Bangalore,177,Firearm Offense,31,X,Explosives,Fire Accident,6,Yes,19-09-2022 13:00
22940,13-08-2022 22:00,13-08-2022 19:00,14-08-2022 01:59,Pune,200,Extortion,72,M,Knife,Other Crime,15,No,
22941,15-08-2022 09:00,13-08-2022 20:00,14-08-2022 06:07,Hyderabad,435,Kidnapping,18,M,Blunt Object,Other Crime,4,Yes,10-11-2022 09:00
22942,16-08-2022 17:00,13-08-2022 21:00,14-08-2022 14:37,Jaipur,509,Domestic Violence,46,M,None,Violent Crime,16,Yes,15-10-2022 17:00
22943,14-08-2022 22:00,13-08-2022 22:00,14-08-2022 06:00,Jaipur,327,Counterfeiting,60,M,Knife,Other Crime,4,No,
22944,14-08-2022 07:00,13-08-2022 23:00,14-08-2022 07:38,Chennai,579,Cybercrime,32,M,Explosives,Other Crime,19,Yes,31-08-2022 07:00
22945,15-08-2022 21:00,14-08-2022 00:00,14-08-2022 11:19,Bangalore,198,Sexual Assault,42,M,Knife,Violent Crime,8,Yes,05-01-2024 21:00
22946,16-08-2022 19:00,14-08-2022 01:00,14-08-2022 22:56,Delhi,400,Arson,76,F,Poison,Fire Accident,13,No,
22947,17-08-2022 00:00,14-08-2022 02:00,14-08-2022 12:01,Kolkata,542,Arson,74,M,None,Fire Accident,16,No,
22948,15-08-2022 17:00,14-08-2022 03:00,14-08-2022 17:37,Hyderabad,253,Identity Theft,54,M,Other,Violent Crime,4,No,
22949,15-08-2022 00:00,14-08-2022 04:00,14-08-2022 14:39,Kanpur,198,Firearm Offense,47,M,Explosives,Fire Accident,2,Yes,31-10-2022 00:00
22950,17-08-2022 00:00,14-08-2022 05:00,14-08-2022 10:30,Delhi,331,Counterfeiting,41,M,None,Other Crime,5,No,
22951,14-08-2022 10:00,14-08-2022 06:00,14-08-2022 17:51,Jaipur,322,Kidnapping,61,X,Other,Other Crime,6,Yes,11-01-2022 10:00
22952,17-08-2022 05:00,14-08-2022 07:00,15-08-2022 03:47,Lucknow,465,Identity Theft,32,X,Firearm,Violent Crime,4,No,
22953,15-08-2022 00:00,14-08-2022 08:00,14-08-2022 23:13,Srinagar,557,Public Intoxication,16,M,Blunt Object,Other Crime,14,No,
22954,16-08-2022 01:00,14-08-2022 09:00,14-08-2022 11:51,Delhi,432,Sexual Assault,26,F,Firearm,Violent Crime,16,Yes,05-07-2023 01:00
22955,16-08-2022 02:00,14-08-2022 10:00,15-08-2022 04:02,Vasai,175,Identity Theft,11,M,Firearm,Violent Crime,2,Yes,11-05-2022 02:00
22956,15-08-2022 19:00,14-08-2022 11:00,15-08-2022 05:57,Jaipur,235,Fraud,36,F,Poison,Other Crime,16,Yes,17-09-2022 19:00
22957,16-08-2022 20:00,14-08-2022 12:00,15-08-2022 11:12,Pune,432,Fraud,74,M,None,Other Crime,17,Yes,10-07-2022 20:00
22958,15-08-2022 04:00,14-08-2022 13:00,15-08-2022 12:39,Nagpur,405,Identity Theft,60,X,Knife,Violent Crime,13,No,
22959,16-08-2022 17:00,14-08-2022 14:00,14-08-2022 14:41,Lucknow,464,Identity Theft,59,M,Firearm,Violent Crime,12,No,
22960,16-08-2022 08:00,14-08-2022 15:00,15-08-2022 01:26,Surat,329,Traffic Violation,21,M,Poison,Traffic Fatality,11,No,
22961,17-08-2022 14:00,14-08-2022 16:00,15-08-2022 07:21,Kanpur,398,Drug Offense,55,X,Other,Other Crime,14,Yes,23-09-2022 14:00
22962,16-08-2022 20:00,14-08-2022 17:00,15-08-2022 09:06,Bangalore,351,Kidnapping,77,F,Blunt Object,Other Crime,1,Yes,09-04-2022 20:00
22963,16-08-2022 04:00,14-08-2022 18:00,14-08-2022 23:41,Hyderabad,334,Kidnapping,13,M,Explosives,Other Crime,9,No,
22964,15-08-2022 12:00,14-08-2022 19:00,15-08-2022 15:04,Bangalore,147,Public Intoxication,10,M,Firearm,Other Crime,1,No,
22965,16-08-2022 13:00,14-08-2022 20:00,15-08-2022 15:05,Bangalore,409,Vandalism,26,M,Blunt Object,Other Crime,12,No,
22966,16-08-2022 12:00,14-08-2022 21:00,15-08-2022 03:06,Mumbai,377,Cybercrime,36,X,Firearm,Other Crime,17,Yes,23-08-2022 12:00
22967,16-08-2022 07:00,14-08-2022 22:00,15-08-2022 05:30,Jaipur,516,Illegal Possession,38,M,Poison,Other Crime,7,No,
22968,15-08-2022 08:00,14-08-2022 23:00,15-08-2022 03:36,Mumbai,136,Robbery,24,F,None,Violent Crime,18,Yes,14-10-2022 08:00
22969,15-08-2022 16:00,15-08-2022 00:00,15-08-2022 01:41,Kanpur,359,Domestic Violence,16,F,Explosives,Violent Crime,13,No,
22970,15-08-2022 14:00,15-08-2022 01:00,15-08-2022 02:37,Ludhiana,231,Shoplifting,58,F,Other,Other Crime,10,No,
22971,16-08-2022 16:00,15-08-2022 02:00,15-08-2022 10:19,Ghaziabad,510,Cybercrime,34,M,Blunt Object,Other Crime,19,No,
22972,15-08-2022 16:00,15-08-2022 03:00,15-08-2022 10:55,Delhi,259,Robbery,59,M,Explosives,Violent Crime,5,Yes,01-04-2023 16:00
22973,17-08-2022 22:00,15-08-2022 04:00,16-08-2022 03:44,Mumbai,410,Fraud,31,F,Knife,Other Crime,16,No,
22974,18-08-2022 03:00,15-08-2022 05:00,15-08-2022 07:03,Chennai,230,Firearm Offense,55,M,None,Fire Accident,8,Yes,31-10-2022 03:00
22975,16-08-2022 17:00,15-08-2022 06:00,16-08-2022 03:36,Hyderabad,271,Sexual Assault,61,X,Other,Violent Crime,6,Yes,26-11-2023 17:00
22976,16-08-2022 12:00,15-08-2022 07:00,15-08-2022 16:44,Delhi,458,Counterfeiting,50,X,Poison,Other Crime,10,No,
22977,15-08-2022 16:00,15-08-2022 08:00,16-08-2022 03:42,Lucknow,500,Extortion,12,M,Knife,Other Crime,1,Yes,10-04-2022 16:00
22978,16-08-2022 22:00,15-08-2022 09:00,16-08-2022 04:02,Kolkata,180,Robbery,76,M,Knife,Violent Crime,8,Yes,01-04-2023 22:00
22979,15-08-2022 19:00,15-08-2022 10:00,15-08-2022 20:43,Kalyan,202,Public Intoxication,29,F,Other,Other Crime,12,No,
22980,17-08-2022 18:00,15-08-2022 11:00,15-08-2022 23:31,Surat,548,Vehicle - Stolen,71,F,Other,Violent Crime,14,No,
22981,17-08-2022 13:00,15-08-2022 12:00,15-08-2022 17:21,Bangalore,546,Shoplifting,16,M,Knife,Other Crime,9,Yes,09-05-2022 13:00
22982,17-08-2022 15:00,15-08-2022 13:00,15-08-2022 18:53,Lucknow,370,Arson,45,F,Poison,Fire Accident,10,Yes,10-10-2022 15:00
22983,16-08-2022 12:00,15-08-2022 14:00,16-08-2022 06:54,Bangalore,328,Kidnapping,24,F,Other,Other Crime,3,No,
22984,16-08-2022 06:00,15-08-2022 15:00,16-08-2022 03:50,Delhi,405,Vandalism,52,X,Knife,Other Crime,6,Yes,23-08-2022 06:00
22985,17-08-2022 10:00,15-08-2022 16:00,16-08-2022 05:14,Bhopal,261,Homicide,59,M,Explosives,Other Crime,9,No,
22986,17-08-2022 07:00,15-08-2022 17:00,16-08-2022 11:48,Bangalore,318,Burglary,12,F,Knife,Other Crime,15,Yes,28-09-2022 07:00
22987,15-08-2022 19:00,15-08-2022 18:00,16-08-2022 05:14,Nagpur,577,Illegal Possession,42,M,Firearm,Other Crime,14,Yes,10-08-2022 19:00
22988,16-08-2022 23:00,15-08-2022 19:00,16-08-2022 15:08,Pune,219,Firearm Offense,39,F,Blunt Object,Fire Accident,1,No,
22989,17-08-2022 21:00,15-08-2022 20:00,16-08-2022 19:18,Hyderabad,293,Burglary,44,M,Poison,Other Crime,6,Yes,18-10-2022 21:00
22990,17-08-2022 04:00,15-08-2022 21:00,16-08-2022 05:36,Delhi,477,Public Intoxication,51,M,Firearm,Other Crime,16,Yes,09-05-2022 04:00
22991,18-08-2022 14:00,15-08-2022 22:00,16-08-2022 02:27,Delhi,267,Fraud,67,X,Poison,Other Crime,12,No,
22992,16-08-2022 08:00,15-08-2022 23:00,16-08-2022 20:40,Thane,163,Kidnapping,54,M,Firearm,Other Crime,16,No,
22993,18-08-2022 16:00,16-08-2022 00:00,16-08-2022 00:12,Bangalore,555,Fraud,37,F,Poison,Other Crime,17,No,
22994,18-08-2022 22:00,16-08-2022 01:00,16-08-2022 14:25,Delhi,287,Firearm Offense,47,X,Firearm,Fire Accident,12,No,
22995,17-08-2022 16:00,16-08-2022 02:00,16-08-2022 16:54,Mumbai,174,Identity Theft,60,M,Firearm,Violent Crime,5,Yes,09-10-2022 16:00
22996,17-08-2022 13:00,16-08-2022 03:00,16-08-2022 15:01,Jaipur,562,Extortion,21,X,None,Other Crime,8,No,
22997,16-08-2022 22:00,16-08-2022 04:00,16-08-2022 09:34,Hyderabad,372,Sexual Assault,69,X,None,Violent Crime,7,No,
22998,16-08-2022 14:00,16-08-2022 05:00,16-08-2022 12:23,Delhi,221,Domestic Violence,69,X,Poison,Violent Crime,2,No,
22999,18-08-2022 10:00,16-08-2022 06:00,16-08-2022 18:34,Bangalore,235,Vehicle - Stolen,33,X,Poison,Violent Crime,15,No,
23000,17-08-2022 06:00,16-08-2022 07:00,16-08-2022 07:08,Lucknow,421,Drug Offense,39,M,Firearm,Other Crime,14,Yes,21-10-2022 06:00
23001,18-08-2022 22:00,16-08-2022 08:00,17-08-2022 01:03,Delhi,466,Identity Theft,68,F,Firearm,Violent Crime,15,No,
23002,17-08-2022 07:00,16-08-2022 09:00,17-08-2022 01:10,Mumbai,421,Sexual Assault,42,M,Blunt Object,Violent Crime,10,No,
23003,17-08-2022 07:00,16-08-2022 10:00,16-08-2022 15:55,Delhi,489,Homicide,44,X,Poison,Other Crime,13,Yes,27-03-2024 07:00
23004,17-08-2022 13:00,16-08-2022 11:00,17-08-2022 09:43,Chennai,124,Traffic Violation,38,X,Explosives,Traffic Fatality,15,Yes,09-01-2022 13:00
23005,18-08-2022 20:00,16-08-2022 12:00,17-08-2022 08:57,Hyderabad,157,Extortion,12,X,Poison,Other Crime,5,No,
23006,17-08-2022 17:00,16-08-2022 13:00,16-08-2022 20:07,Bangalore,505,Cybercrime,12,X,Other,Other Crime,2,No,
23007,19-08-2022 00:00,16-08-2022 14:00,17-08-2022 08:43,Hyderabad,513,Identity Theft,41,F,None,Violent Crime,8,Yes,24-10-2022 00:00
23008,17-08-2022 14:00,16-08-2022 15:00,16-08-2022 22:09,Ludhiana,405,Homicide,66,F,Blunt Object,Other Crime,13,Yes,07-12-2024 14:00
23009,19-08-2022 00:00,16-08-2022 16:00,17-08-2022 06:34,Ghaziabad,264,Domestic Violence,44,X,Other,Violent Crime,15,No,
23010,16-08-2022 21:00,16-08-2022 17:00,17-08-2022 06:35,Mumbai,108,Assault,60,F,Firearm,Violent Crime,7,Yes,09-11-2022 21:00
23011,18-08-2022 07:00,16-08-2022 18:00,17-08-2022 04:47,Delhi,218,Vandalism,32,F,Poison,Other Crime,9,No,
23012,19-08-2022 05:00,16-08-2022 19:00,16-08-2022 19:04,Chennai,468,Vandalism,40,F,Other,Other Crime,16,Yes,26-10-2022 05:00
23013,19-08-2022 15:00,16-08-2022 20:00,17-08-2022 13:56,Pune,164,Public Intoxication,72,X,None,Other Crime,5,Yes,09-03-2022 15:00
23014,19-08-2022 16:00,16-08-2022 21:00,17-08-2022 11:38,Surat,180,Fraud,22,M,Poison,Other Crime,5,Yes,09-12-2022 16:00
23015,19-08-2022 18:00,16-08-2022 22:00,16-08-2022 23:58,Mumbai,306,Shoplifting,24,F,Blunt Object,Other Crime,4,Yes,11-03-2022 18:00
23016,18-08-2022 18:00,16-08-2022 23:00,17-08-2022 02:48,Mumbai,262,Arson,65,M,Knife,Fire Accident,7,No,
